رتبه,تیم,بازی,برد,مساوی,باخت,زده,خورده,تفاضل,امتیاز,توضیحات
۱,پرسپولیس تهران,۲۲,۱۴,۵,۳,۵۳,۱۷,+۳۶,۳۳,صعود به نیمه نهایی
۲,کشاورز,۲۲,۸,۱۱,۳,۲۶,۱۵,+۱۱,۲۷,صعود به نیمه نهایی
۳,برق شیراز,۲۲,۸,۱۰,۴,۱۸,۱۱,+۷,۲۶,
۴,استقلال اهواز,۲۲,۸,۱۰,۴,۳۱,۲۷,+۴,۲۶,
۵,آرارات,۲۲,۸,۹,۵,۳۱,۱۹,+۱۲,۲۵,
۶,پاس تهران,۲۲,۶,۱۳,۳,۳۲,۲۲,+۱۰,۲۵,
۷,ملوان انزلی,۲۲,۸,۸,۶,۲۳,۱۶,+۷,۲۴,
۸,ذوب‌آهن,۲۲,۶,۱۱,۵,۳۱,۳۴,-۳,۲۳,سقوط به دسته دوم
۹,تراکتورسازی,۲۲,۵,۱۰,۷,۲۹,۳۱,-۲,۲۰,سقوط به دسته دوم
۱۰,نساجی مازندران,۲۲,۳,۹,۱۰,۱۶,۳۲,-۱۶,۱۵,سقوط به دسته دوم
۱۱,قدس ساری,۲۲,۵,۴,۱۳,۱۶,۳۳,-۱۷,۱۴,سقوط به دسته دوم
۱۲,شاهین بوشهر,۲۲,-,۵,۱۷,۷,۵۶,-۴۹,۵,سقوط به دسته دوم
