#,تیم,بازی,برد,مساوی,باخت,گلِ‌زده,گلِ‌خورده,تفاضل,امتیاز,توضیحات
۱,استقلال تهران,۲۸,۱۶,۱۰,۲,۴۶,۲۱,۲۵,۵۸,صعود به جام باشگاه‌های آسیا ۹۹–۱۹۹۸
۲,پاس تهران,۲۸,۱۳,۱۳,۲,۳۲,۲۰,۱۲,۵۲,
۳,ذوب آهن اصفهان,۲۸,۱۱,۱۲,۵,۳۱,۳۰,۱,۴۵,
۴,فجر سپاسی شیراز,۲۸,۱۰,۱۰,۸,۳۷,۲۷,۱۰,۴۰,
۵,شهرداری تبریز,۲۸,۱۰,۹,۹,۳۷,۲۹,۸,۳۹,
۶,سپاهان اصفهان,۲۸,۹,۱۰,۹,۲۴,۲۵,۱-,۳۷,
۷,سایپا تهران,۲۸,۷,۱۴,۷,۲۶,۲۶,۰,۳۵,
۸,پلی اکریل اصفهان,۲۸,۸,۱۱,۹,۲۸,۲۹,۱-,۳۵,
۹,تراکتورسازی تبریز,۲۸,۹,۸,۱۱,۳۲,۳۸,۶-,۳۵,
۱۰,فولاد خوزستان,۲۸,۱۰,۵,۱۳,۲۹,۴۵,۱۶-,۳۵,
۱۱,صنعت نفت آبادان,۲۸,۸,۱۰,۱۰,۳۰,۳۰,۰,۳۴,
۱۲,بهمن کرج,۲۸,۷,۱۱,۱۰,۳۱,۳۴,۳-,۳۲,سقوط به لیگ دسته دوم فوتبال ایران
۱۳,استقلال اهواز,۲۸,۶,۱۲,۱۰,۳۱,۴۱,۱۰-,۳۰,سقوط به لیگ دسته دوم فوتبال ایران
۱۴,پیام مشهد,۲۸,۵,۱۱,۱۲,۲۴,۳۵,۱۱-,۲۶,سقوط به لیگ دسته دوم فوتبال ایران
۱۵,برق شیراز,۲۸,۳,۱۰,۱۵,۱۹,۳۹,۲۰-,۱۹,سقوط به لیگ دسته دوم فوتبال ایران
۱۶,پیروزی تهران,۸,۵,۲,۱,۱۳,۶,۷+,۱۷,
