Home \ Away,PRS,EST,SEP,SAP,PAS,CHO,FOL,ABU,SNA,FJR,TRK,ZOB,MLV,SHT,POL,BMI
Persepolis,,1–1,3–1,1–0,1–2,4–0,1–0,1–0,4–1,0–0,0–0,2–0,1–0,3–1,3–0,1–1
Esteghlal,0–1,,1–1,3–4,1–1,6–1,3–0,1–2,1–0,2–1,3–2,0–1,1–1,1–0,4–2,3–1
Sepahan,1–0,1–1,,1–1,0–0,2–0,1–1,0–0,1–1,1–0,3–1,1–0,1–0,5–3,1–0,1–1
Saipa,1–1,0–0,2–0,,0–0,4–1,1–0,2–1,0–0,1–5,1–0,3–1,1–0,1–1,1–0,1–1
PAS Tehran,0–4,1–1,1–1,1–3,,1–1,1–1,3–2,0–0,3–1,0–0,0–0,1–0,0–0,2–1,1–1
Chooka,3–1,1–1,1–0,2–2,2–1,,1–1,1–0,0–0,2–1,1–0,1–0,2–1,2–1,4–2,2–1
Foolad,0–3,0–3,0–3,3–2,2–1,4–1,,1–0,1–1,0–0,1–0,0–2,4–1,0–0,1–1,2–0
Aboumoslem,1–2,1–2,1–1,1–1,0–2,3–0,0–0,,6–2,3–1,2–1,2–1,1–0,4–3,1–0,0–3
Sanat Naft,1–4,1–1,0–3,2–0,1–0,1–0,0–3,2–1,,0–0,2–2,2–1,0–0,0–3,1–0,2–1
Fajr Sepasi,2–3,0–1,0–2,2–1,0–0,3–1,1–0,1–2,1–2,,0–0,1–0,0–2,2–1,0–0,2–1
Tractor Sazi,2–4,1–4,0–2,1–0,1–2,0–0,1–1,2–1,0–0,0–0,,1–1,1–0,2–2,3–1,0–0
Zob Ahan,1–1,1–1,0–3,2–1,0–2,1–0,2–3,2–0,2–0,1–0,0–2,,1–1,0–0,1–2,0–1
Malavan,1–1,1–2,0–0,2–2,1–2,3–1,2–0,1–1,2–0,0–0,0–0,1–0,,1–0,0–0,0–1
Sh. Tabriz,0–0,0–0,1–1,1–3,2–1,1–0,1–1,0–0,0–0,1–1,0–1,1–0,2–0,,0–0,1–1
Polyacryl,0–2,1–0,0–0,0–1,0–0,0–0,3–0,1–0,2–0,0–0,1–1,0–2,0–1,2–2,,2–2
Bank Melli,1–2,0–2,0–0,0–3,0–0,3–2,1–1,0–0,0–0,1–2,1–4,0–3,0–0,1–1,3–3,
