رتبه,تیمنبو,بازی,برد,مساوی,باخت,گل زده,گل خورده,گل تفاضل,امتیاز,صعود یا سقوط
۱,پرسپولیس,۳۰,۲۰,۶,۴,۴۶,۱۳,۳۳+,۶۶,صعود به مرحله‌گروهی لیگ قهرمانان آسیا
۲,سپاهان,۳۰,۱۹,۸,۳,۴۹,۱۷,۳۲+,۶۵,صعود به مرحله‌گروهی لیگ قهرمانان آسیا
۳,استقلال[a],۳۰,۱۸,۸,۴,۵۲,۲۲,۳۰+,۶۲,
۴,تراکتور,۳۰,۱۵,۷,۸,۴۲,۳۴,۸+,۵۲,صعود به مرحله مقدماتی لیگ قهرمانان آسیا ۲۴–۲۰۲۳
۵,مس رفسنجان,۳۰,۱۱,۱۴,۵,۲۹,۱۵,۱۴+,۴۷,
۶,گل‌گهر,۳۰,۱۲,۹,۹,۴۰,۳۶,۴+,۴۵,
۷,فولاد,۳۰,۹,۱۳,۸,۲۷,۲۶,۱+,۴۰,
۸,آلومینیوم اراک,۳۰,۸,۱۶,۶,۲۰,۱۵,۵+,۴۰,
۹,ذوب‌آهن,۳۰,۷,۱۵,۸,۲۲,۲۱,۱+,۳۶,
۱۰,هوادار,۳۰,۷,۱۲,۱۱,۲۴,۳۴,۱۰−,۳۳,
۱۱,پیکان,۳۰,۵,۱۳,۱۲,۱۲,۲۸,۱۶−,۲۸,
۱۲,ملوان,۳۰,۵,۱۲,۱۳,۲۱,۴۰,۱۹−,۲۷,
۱۳,نساجی[b],۳۰,۵,۱۱,۱۴,۲۶,۴۴,۱۸−,۲۶,صعود به مرحله‌گروهی لیگ قهرمانان آسیا
۱۴,صنعت نفت,۳۰,۵,۱۰,۱۵,۲۲,۳۶,۱۴−,۲۵,
۱۵,مس کرمان,۳۰,۴,۱۰,۱۶,۲۳,۳۷,۱۴−,۲۲,سقوط به لیگ آزادگان
۱۶,نفت م. س,۳۰,۴,۸,۱۸,۲۲,۵۹,۳۷−,۲۰,سقوط به لیگ آزادگان
